"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Rosca Direta (Barra)",,"",0,"normal",10,15,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Rosca Direta (Barra)",,"",1,"normal",10,15,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Rosca Direta (Barra)",,"",2,"normal",14,15,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Abdominal Na Máquina",,"",0,"normal",20,12,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Abdominal Na Máquina",,"",1,"normal",20,12,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Abdominal Na Máquina",,"",2,"normal",20,12,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Leg Press Horizontal (Máquina)",,"",0,"normal",42.5,15,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Leg Press Horizontal (Máquina)",,"",1,"normal",42.5,15,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Leg Press Horizontal (Máquina)",,"",2,"normal",42.5,15,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Panturrilha no Leg Press 45º",,"",0,"normal",42.5,12,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Panturrilha no Leg Press 45º",,"",1,"normal",42.5,12,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Panturrilha no Leg Press 45º",,"",2,"normal",42.5,12,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Puxada Alta - Pegada Triângulo",,"",0,"normal",33,12,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Puxada Alta - Pegada Triângulo",,"",1,"normal",33,15,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Puxada Alta - Pegada Triângulo",,"",2,"normal",33,15,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Desenvolvimento de Ombros (Máquina de Placas)",,"",0,"normal",10,15,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Desenvolvimento de Ombros (Máquina de Placas)",,"",1,"normal",10,15,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Desenvolvimento de Ombros (Máquina de Placas)",,"",2,"normal",10,15,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Mesa Flexora (Máquina)",,"",0,"normal",17.5,15,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Mesa Flexora (Máquina)",,"",1,"normal",17.5,15,,,
"Treino B","20 Ago 2026, 20:59","20 Ago 2026, 21:41","","Mesa Flexora (Máquina)",,"",2,"normal",17.5,15,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Rosca Martelo (Halter)",,"",0,"normal",12,12,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Rosca Martelo (Halter)",,"",1,"normal",12,12,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Rosca Martelo (Halter)",,"",2,"normal",12,12,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Supino (Halter)",,"",0,"normal",12,12,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Supino (Halter)",,"",1,"normal",12,12,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Supino (Halter)",,"",2,"normal",12,12,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Leg Press Horizontal (Máquina)",,"",0,"normal",42.5,15,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Leg Press Horizontal (Máquina)",,"",1,"normal",42.5,15,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Leg Press Horizontal (Máquina)",,"",2,"normal",42.5,15,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Desenvolvimento de Ombros (Máquina de Placas)",,"",0,"normal",10,15,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Desenvolvimento de Ombros (Máquina de Placas)",,"",1,"normal",10,15,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Desenvolvimento de Ombros (Máquina de Placas)",,"",2,"normal",10,15,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Cadeira Flexora (Máquina)",,"",0,"normal",27.5,12,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Cadeira Flexora (Máquina)",,"",1,"normal",27.5,12,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Cadeira Flexora (Máquina)",,"",2,"normal",27.5,12,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Remadas Iso-Lateral (Máquina)",,"",0,"normal",30,12,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Remadas Iso-Lateral (Máquina)",,"",1,"normal",30,12,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Remadas Iso-Lateral (Máquina)",,"",2,"normal",30,12,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Tríceps na Polia com Corda",,"",0,"normal",13.75,12,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Tríceps na Polia com Corda",,"",1,"normal",13.75,12,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Tríceps na Polia com Corda",,"",2,"normal",13.75,12,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Abdominal Na Máquina",,"",0,"normal",20,12,,,
"Treino A","17 Ago 2026, 21:15","17 Ago 2026, 22:10","","Abdominal Na Máquina",,"",1,"normal",20,12,,,
"Treino B","13 Ago 2026, 21:21","13 Ago 2026, 22:02","","Rosca Direta (Barra)",,"",0,"normal",10,15,,,
"Treino B","13 Ago 2026, 21:21","13 Ago 2026, 22:02","","Rosca Direta (Barra)",,"",1,"normal",10,15,,,
"Treino B","13 Ago 2026, 21:21","13 Ago 2026, 22:02","","Rosca Direta (Barra)",,"",2,"normal",10,15,,,
"Treino B","13 Ago 2026, 21:21","13 Ago 2026, 22:02","","Abdominal Na Máquina",,"",0,"normal",20,12,,,
"Treino B","13 Ago 2026, 21:21","13 Ago 2026, 22:02","","Abdominal Na Máquina",,"",1,"normal",20,12,,,
"Treino B","13 Ago 2026, 21:21","13 Ago 2026, 22:02","","Abdominal Na Máquina",,"",2,"normal",20,12,,,
"Treino B","13 Ago 2026, 21:21","13 Ago 2026, 22:02","","Leg Press Horizontal (Máquina)",,"",0,"normal",42.5,15,,,
"Treino B","13 Ago 2026, 21:21","13 Ago 2026, 22:02","","Leg Press Horizontal (Máquina)",,"",1,"normal",42.5,15,,,
"Treino B","13 Ago 2026, 21:21","13 Ago 2026, 22:02","","Leg Press Horizontal (Máquina)",,"",2,"normal",42.5,15,,,
"Treino B","13 Ago 2026, 21:21","13 Ago 2026, 22:02","","Puxada Alta - Pegada Triângulo",,"",0,"normal",33,15,,,
"Treino B","13 Ago 2026, 21:21","13 Ago 2026, 22:02","","Puxada Alta - Pegada Triângulo",,"",1,"normal",33,15,,,
"Treino B","13 Ago 2026, 21:21","13 Ago 2026, 22:02","","Puxada Alta - Pegada Triângulo",,"",2,"normal",33,15,,,
"Treino B","13 Ago 2026, 21:21","13 Ago 2026, 22:02","","Desenvolvimento de Ombros (Máquina de Placas)",,"",0,"normal",10,15,,,
"Treino B","13 Ago 2026, 21:21","13 Ago 2026, 22:02","","Desenvolvimento de Ombros (Máquina de Placas)",,"",1,"normal",10,15,,,
"Treino B","13 Ago 2026, 21:21","13 Ago 2026, 22:02","","Desenvolvimento de Ombros (Máquina de Placas)",,"",2,"normal",10,15,,,
"Treino B","13 Ago 2026, 21:21","13 Ago 2026, 22:02","","Mesa Flexora (Máquina)",,"",0,"normal",17.5,15,,,
"Treino B","13 Ago 2026, 21:21","13 Ago 2026, 22:02","","Mesa Flexora (Máquina)",,"",1,"normal",17.5,15,,,
"Treino B","13 Ago 2026, 21:21","13 Ago 2026, 22:02","","Mesa Flexora (Máquina)",,"",2,"normal",17.5,5,,,
